rate_date,quote_currency,base_currency,usd_per_eur,observation_status,series_key,source_url
2023-12-27,USD,EUR,1.10650000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2023-12-28,USD,EUR,1.11140000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2023-12-29,USD,EUR,1.10500000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-02,USD,EUR,1.09560000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-03,USD,EUR,1.09190000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-04,USD,EUR,1.09530000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-05,USD,EUR,1.09210000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-08,USD,EUR,1.09460000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-09,USD,EUR,1.09400000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-10,USD,EUR,1.09460000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-11,USD,EUR,1.09870000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-12,USD,EUR,1.09420000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-15,USD,EUR,1.09450000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-16,USD,EUR,1.08820000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-17,USD,EUR,1.08770000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-18,USD,EUR,1.08750000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-19,USD,EUR,1.08870000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-22,USD,EUR,1.08900000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-23,USD,EUR,1.08720000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-24,USD,EUR,1.09050000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-25,USD,EUR,1.08930000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-26,USD,EUR,1.08710000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-29,USD,EUR,1.08230000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-30,USD,EUR,1.08460000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2024-01-31,USD,EUR,1.08370000,A,EXR.D.USD.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
