order_id,order_item_id,product_id,sale_date_utc,order_status,item_status,order_disposition,sale_price,product_category
104,140,10396,2024-01-22,Cancelled,Cancelled,EXCLUE_METIER,48.0,Intimates
227,331,17683,2024-01-28,Complete,Complete,CANDIDATE_CA,99.94999694824217,Fashion Hoodies & Sweatshirts
269,388,16581,2024-01-12,Returned,Returned,EXCLUE_METIER,39.5,Tops & Tees
289,413,6382,2024-01-30,Returned,Returned,EXCLUE_METIER,16.5,Shorts
289,414,1411,2024-01-26,Returned,Returned,EXCLUE_METIER,59.5,Sweaters
571,806,21352,2024-01-22,Shipped,Shipped,CANDIDATE_CA,109.9499969482422,Jeans
600,851,23779,2024-01-14,Processing,Processing,A_VERIFIER_ETAT,266.6600036621094,Outerwear & Coats
606,857,14035,2024-01-02,Complete,Complete,CANDIDATE_CA,39.9900016784668,Accessories
655,923,10856,2024-01-24,Processing,Processing,A_VERIFIER_ETAT,30.0,Intimates
816,1142,18625,2024-01-05,Complete,Complete,CANDIDATE_CA,68.9000015258789,Active
816,1143,27693,2024-01-06,Complete,Complete,CANDIDATE_CA,45.0,Swim
823,1153,28809,2024-01-27,Cancelled,Cancelled,EXCLUE_METIER,24.989999771118164,Accessories
959,1343,18733,2024-01-22,Complete,Complete,CANDIDATE_CA,35.0,Active
1117,1581,7158,2024-01-23,Shipped,Shipped,CANDIDATE_CA,38.0,Skirts
1121,1588,28772,2024-01-18,Shipped,Shipped,CANDIDATE_CA,17.31999969482422,Accessories
1121,1589,26508,2024-01-21,Shipped,Shipped,CANDIDATE_CA,74.0,Sleep & Lounge
1295,1849,26918,2024-01-25,Returned,Returned,EXCLUE_METIER,47.0,Sleep & Lounge
1308,1871,14282,2024-01-09,Complete,Complete,CANDIDATE_CA,14.0,Accessories
1324,1892,16250,2024-01-03,Cancelled,Cancelled,EXCLUE_METIER,59.5,Tops & Tees
1411,2014,21844,2024-01-15,Processing,Processing,A_VERIFIER_ETAT,59.950000762939446,Pants
1422,2028,11562,2024-01-01,Shipped,Shipped,CANDIDATE_CA,10.880000114440918,Intimates
