source_row,order_id,order_item_id,product_id,sale_date_utc,order_status,item_status,order_disposition,sale_price,product_category,normalized_order_id,normalized_order_item_id,normalized_product_id,normalized_sale_date_utc,normalized_amount_source_usd,status,reason_code,reason_explanation
2,104,140,10396,2024-01-22,Cancelled,Cancelled,EXCLUE_METIER,48.0,Intimates,104,140,10396,2024-01-22,48.00,EXCLUE PAR RÈGLE MÉTIER,CANCELLED_ORDER,Commande annulée : exclusion métier du chiffre d'affaires.
4,269,388,16581,2024-01-12,Returned,Returned,EXCLUE_METIER,39.5,Tops & Tees,269,388,16581,2024-01-12,39.50,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
5,289,413,6382,2024-01-30,Returned,Returned,EXCLUE_METIER,16.5,Shorts,289,413,6382,2024-01-30,16.50,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
6,289,414,1411,2024-01-26,Returned,Returned,EXCLUE_METIER,59.5,Sweaters,289,414,1411,2024-01-26,59.50,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
8,600,851,23779,2024-01-14,Processing,Processing,A_VERIFIER_ETAT,266.6600036621094,Outerwear & Coats,600,851,23779,2024-01-14,266.66,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
10,655,923,10856,2024-01-24,Processing,Processing,A_VERIFIER_ETAT,30.0,Intimates,655,923,10856,2024-01-24,30.00,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
13,823,1153,28809,2024-01-27,Cancelled,Cancelled,EXCLUE_METIER,24.989999771118164,Accessories,823,1153,28809,2024-01-27,24.99,EXCLUE PAR RÈGLE MÉTIER,CANCELLED_ORDER,Commande annulée : exclusion métier du chiffre d'affaires.
18,1295,1849,26918,2024-01-25,Returned,Returned,EXCLUE_METIER,47.0,Sleep & Lounge,1295,1849,26918,2024-01-25,47.00,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
20,1324,1892,16250,2024-01-03,Cancelled,Cancelled,EXCLUE_METIER,59.5,Tops & Tees,1324,1892,16250,2024-01-03,59.50,EXCLUE PAR RÈGLE MÉTIER,CANCELLED_ORDER,Commande annulée : exclusion métier du chiffre d'affaires.
21,1411,2014,21844,2024-01-15,Processing,Processing,A_VERIFIER_ETAT,59.950000762939446,Pants,1411,2014,21844,2024-01-15,59.95,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
31,1648,2341,19559,2024-01-13,Processing,Processing,A_VERIFIER_ETAT,168.83999633789062,Sweaters,1648,2341,19559,2024-01-13,168.84,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
32,1648,2342,22395,2024-01-13,Processing,Processing,A_VERIFIER_ETAT,198.0,Pants,1648,2342,22395,2024-01-13,198.00,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
33,1648,2343,21253,2024-01-14,Processing,Processing,A_VERIFIER_ETAT,154.0,Jeans,1648,2343,21253,2024-01-14,154.00,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
34,1672,2371,26261,2024-01-19,Processing,Processing,A_VERIFIER_ETAT,28.5,Underwear,1672,2371,26261,2024-01-19,28.50,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
35,1688,2389,10114,2024-01-19,Returned,Returned,EXCLUE_METIER,65.0,Sleep & Lounge,1688,2389,10114,2024-01-19,65.00,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
36,1688,2390,9081,2024-01-16,Returned,Returned,EXCLUE_METIER,17.950000762939453,Socks & Hosiery,1688,2390,9081,2024-01-16,17.95,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
37,1760,2489,13629,2024-01-11,Processing,Processing,A_VERIFIER_ETAT,1.5099999904632568,Accessories,1760,2489,13629,2024-01-11,1.51,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
39,2142,3030,26208,2024-01-17,Cancelled,Cancelled,EXCLUE_METIER,38.0,Underwear,2142,3030,26208,2024-01-17,38.00,EXCLUE PAR RÈGLE MÉTIER,CANCELLED_ORDER,Commande annulée : exclusion métier du chiffre d'affaires.
40,2142,3031,27574,2024-01-18,Cancelled,Cancelled,EXCLUE_METIER,50.0,Swim,2142,3031,27574,2024-01-18,50.00,EXCLUE PAR RÈGLE MÉTIER,CANCELLED_ORDER,Commande annulée : exclusion métier du chiffre d'affaires.
43,2215,3138,25703,2024-01-15,Processing,Processing,A_VERIFIER_ETAT,39.9900016784668,Underwear,2215,3138,25703,2024-01-15,39.99,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
48,2797,3977,20669,2024-01-30,Processing,Processing,A_VERIFIER_ETAT,74.0,Jeans,2797,3977,20669,2024-01-30,74.00,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
59,3280,4701,1921,2024-01-08,Cancelled,Cancelled,EXCLUE_METIER,34.95000076293945,Fashion Hoodies & Sweatshirts,3280,4701,1921,2024-01-08,34.95,EXCLUE PAR RÈGLE MÉTIER,CANCELLED_ORDER,Commande annulée : exclusion métier du chiffre d'affaires.
64,3455,4951,15843,2024-01-17,Returned,Returned,EXCLUE_METIER,4.380000114440918,Plus,3455,4951,15843,2024-01-17,4.38,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
65,3465,4965,25091,2024-01-24,Cancelled,Cancelled,EXCLUE_METIER,25.0,Socks,3465,4965,25091,2024-01-24,25.00,EXCLUE PAR RÈGLE MÉTIER,CANCELLED_ORDER,Commande annulée : exclusion métier du chiffre d'affaires.
67,3600,5167,15636,2024-01-30,Returned,Returned,EXCLUE_METIER,12.0,Plus,3600,5167,15636,2024-01-30,12.00,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
69,3857,5544,25684,2024-01-14,Returned,Returned,EXCLUE_METIER,22.739999771118164,Underwear,3857,5544,25684,2024-01-14,22.74,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
70,3857,5545,23240,2024-01-12,Returned,Returned,EXCLUE_METIER,40.0,Shorts,3857,5545,23240,2024-01-12,40.00,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
71,3857,5546,19353,2024-01-11,Returned,Returned,EXCLUE_METIER,39.880001068115234,Sweaters,3857,5546,19353,2024-01-11,39.88,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
72,3869,5563,12294,2024-01-05,Returned,Returned,EXCLUE_METIER,21.899999618530277,Intimates,3869,5563,12294,2024-01-05,21.90,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
73,4278,6167,5851,2024-01-13,Cancelled,Cancelled,EXCLUE_METIER,6.96999979019165,Leggings,4278,6167,5851,2024-01-13,6.97,EXCLUE PAR RÈGLE MÉTIER,CANCELLED_ORDER,Commande annulée : exclusion métier du chiffre d'affaires.
74,4285,6176,12681,2024-01-16,Returned,Returned,EXCLUE_METIER,59.950000762939446,Intimates,4285,6176,12681,2024-01-16,59.95,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
75,4285,6177,8351,2024-01-15,Returned,Returned,EXCLUE_METIER,160.0,Outerwear & Coats,4285,6177,8351,2024-01-15,160.00,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
77,4404,6361,15380,2024-01-19,Processing,Processing,A_VERIFIER_ETAT,25.0,Plus,4404,6361,15380,2024-01-19,25.00,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
78,4404,6362,1065,2024-01-23,Processing,Processing,A_VERIFIER_ETAT,36.9900016784668,Sweaters,4404,6362,1065,2024-01-23,36.99,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
80,4576,6600,14051,2024-01-13,Returned,Returned,EXCLUE_METIER,85.83000183105469,Accessories,4576,6600,14051,2024-01-13,85.83,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
81,4576,6601,11997,2024-01-17,Returned,Returned,EXCLUE_METIER,65.0,Intimates,4576,6601,11997,2024-01-17,65.00,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
82,4576,6602,15119,2024-01-17,Returned,Returned,EXCLUE_METIER,78.0,Maternity,4576,6602,15119,2024-01-17,78.00,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
83,4576,6603,4388,2024-01-15,Returned,Returned,EXCLUE_METIER,34.9900016784668,Jeans,4576,6603,4388,2024-01-15,34.99,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
84,4883,7061,9214,2024-01-26,Processing,Processing,A_VERIFIER_ETAT,11.989999771118164,Socks & Hosiery,4883,7061,9214,2024-01-26,11.99,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
85,4883,7062,6940,2024-01-27,Processing,Processing,A_VERIFIER_ETAT,18.0,Shorts,4883,7062,6940,2024-01-27,18.00,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
87,5015,7252,15910,2024-01-04,Cancelled,Cancelled,EXCLUE_METIER,18.989999771118164,Plus,5015,7252,15910,2024-01-04,18.99,EXCLUE PAR RÈGLE MÉTIER,CANCELLED_ORDER,Commande annulée : exclusion métier du chiffre d'affaires.
88,5021,7258,22904,2024-01-13,Cancelled,Cancelled,EXCLUE_METIER,48.0,Shorts,5021,7258,22904,2024-01-13,48.00,EXCLUE PAR RÈGLE MÉTIER,CANCELLED_ORDER,Commande annulée : exclusion métier du chiffre d'affaires.
89,5021,7259,20986,2024-01-15,Cancelled,Cancelled,EXCLUE_METIER,69.0,Jeans,5021,7259,20986,2024-01-15,69.00,EXCLUE PAR RÈGLE MÉTIER,CANCELLED_ORDER,Commande annulée : exclusion métier du chiffre d'affaires.
94,5281,7648,26511,2024-01-08,Processing,Processing,A_VERIFIER_ETAT,149.9499969482422,Sleep & Lounge,5281,7648,26511,2024-01-08,149.95,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
98,5974,8672,3334,2024-01-08,Cancelled,Cancelled,EXCLUE_METIER,33.9900016784668,Dresses,5974,8672,3334,2024-01-08,33.99,EXCLUE PAR RÈGLE MÉTIER,CANCELLED_ORDER,Commande annulée : exclusion métier du chiffre d'affaires.
99,6004,8711,16920,2024-01-22,Returned,Returned,EXCLUE_METIER,29.989999771118164,Tops & Tees,6004,8711,16920,2024-01-22,29.99,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
100,6004,8712,25256,2024-01-22,Returned,Returned,EXCLUE_METIER,6.989999771118164,Socks,6004,8712,25256,2024-01-22,6.99,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
103,6470,9363,9417,2024-01-11,Processing,Processing,A_VERIFIER_ETAT,11.989999771118164,Socks & Hosiery,6470,9363,9417,2024-01-11,11.99,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
104,6470,9364,13089,2024-01-12,Processing,Processing,A_VERIFIER_ETAT,38.9900016784668,Swim,6470,9364,13089,2024-01-12,38.99,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
105,6470,9365,2150,2024-01-13,Processing,Processing,A_VERIFIER_ETAT,119.0,Fashion Hoodies & Sweatshirts,6470,9365,2150,2024-01-13,119.00,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
106,6470,9366,4288,2024-01-09,Processing,Processing,A_VERIFIER_ETAT,55.9900016784668,Jeans,6470,9366,4288,2024-01-09,55.99,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
109,6764,9805,2335,2024-01-27,Returned,Returned,EXCLUE_METIER,14.289999961853027,Fashion Hoodies & Sweatshirts,6764,9805,2335,2024-01-27,14.29,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
110,6893,9978,3427,2024-01-29,Processing,Processing,A_VERIFIER_ETAT,46.9900016784668,Dresses,6893,9978,3427,2024-01-29,46.99,À VÉRIFIER,PROCESSING_ORDER,Commande encore en traitement : chiffre d'affaires à vérifier.
118,7123,10300,1130,2024-01-19,Returned,Returned,EXCLUE_METIER,119.98999786376952,Sweaters,7123,10300,1130,2024-01-19,119.99,EXCLUE PAR RÈGLE MÉTIER,RETURNED_ORDER,Commande retournée : exclusion métier du chiffre d'affaires.
124,7393,10680,10473,2024-01-22,Cancelled,Cancelled,EXCLUE_METIER,42.299999237060554,Intimates,7393,10680,10473,2024-01-22,42.30,EXCLUE PAR RÈGLE MÉTIER,CANCELLED_ORDER,Commande annulée : exclusion métier du chiffre d'affaires.
125,7466,10779,25339,2024-01-21,Cancelled,Cancelled,EXCLUE_METIER,22.989999771118164,Socks,7466,10779,25339,2024-01-21,22.99,EXCLUE PAR RÈGLE MÉTIER,CANCELLED_ORDER,Commande annulée : exclusion métier du chiffre d'affaires.
