order_id,order_item_id,product_id,product_category,sale_date_utc,order_status,amount_source_usd,source_currency_assumption,rate_date,usd_per_eur,rate_age_days,amount_eur,rate_source_url
227,331,17683,Fashion Hoodies & Sweatshirts,2024-01-28,COMPLETE,99.95,"USD (POC assumption, unverified)",2024-01-26,1.08710000,2,91.94,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
571,806,21352,Jeans,2024-01-22,SHIPPED,109.95,"USD (POC assumption, unverified)",2024-01-22,1.08900000,0,100.96,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
606,857,14035,Accessories,2024-01-02,COMPLETE,39.99,"USD (POC assumption, unverified)",2024-01-02,1.09560000,0,36.50,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
816,1142,18625,Active,2024-01-05,COMPLETE,68.90,"USD (POC assumption, unverified)",2024-01-05,1.09210000,0,63.09,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
816,1143,27693,Swim,2024-01-06,COMPLETE,45.00,"USD (POC assumption, unverified)",2024-01-05,1.09210000,1,41.21,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
959,1343,18733,Active,2024-01-22,COMPLETE,35.00,"USD (POC assumption, unverified)",2024-01-22,1.08900000,0,32.14,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
1117,1581,7158,Skirts,2024-01-23,SHIPPED,38.00,"USD (POC assumption, unverified)",2024-01-23,1.08720000,0,34.95,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
1121,1588,28772,Accessories,2024-01-18,SHIPPED,17.32,"USD (POC assumption, unverified)",2024-01-18,1.08750000,0,15.93,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
1121,1589,26508,Sleep & Lounge,2024-01-21,SHIPPED,74.00,"USD (POC assumption, unverified)",2024-01-19,1.08870000,2,67.97,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
1308,1871,14282,Accessories,2024-01-09,COMPLETE,14.00,"USD (POC assumption, unverified)",2024-01-09,1.09400000,0,12.80,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
